indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
—————————————,10500,species,61158,A.Arvicanthis sp.,61158,B.Arvicanthis sp.,=,,,moved,canonicalName,,tip
—————————————,10501,species,122200,A.Arvicanthis sp. Kyambura,122200,B.Arvicanthis sp. Kyambura,=,,,moved,canonicalName,,tip
—————————————,10502,species,122204,A.Arvicanthis sp. Koumbala,122204,B.Arvicanthis sp. Koumbala,=,,,moved,canonicalName,,tip
—————————————,10503,species,870961,A.Arvicanthis sp. GGD-2010,870961,B.Arvicanthis sp. GGD-2010,=,,,moved,canonicalName,,tip
—————————————,10504,species,1380344,A.Arvicanthis sp. 1 GJK-2013,1380344,B.Arvicanthis sp. 1 GJK-2013,=,,,moved,canonicalName,,tip
—————————————,10505,species,,,2590532,B.Arvicanthis sp. 'ANI6',,,,,,,
—————————————,10506,species,,,2590533,B.Arvicanthis sp. 'Menangesha',,,,,,,
—————————————,10507,species,,,2590534,B.Arvicanthis sp. 'Metahara',,,,,,,
—————————————,10508,species,,,2592600,B.Arvicanthis sp. 'Masai Mara',,,,,,,
———————————,10509,genus,69078,A.Bandicota,69078,B.Bandicota,=,,,,canonicalName,,
————————————,10510,species,69079,A.Bandicota bengalensis,69079,B.Bandicota bengalensis,=,,,,canonicalName,number_of_children,
—————————————,10511,subspecies,,,1972514,B.Bandicota bengalensis gracilis,,,,,,,
—————————————,10512,subspecies,,,1972515,B.Bandicota bengalensis insularis,,,,,,,
————————————,10513,species,456472,A.Bandicota indica,456472,B.Bandicota indica,=,,,,canonicalName,,tip
————————————,10514,species,456473,A.Bandicota savilei,456473,B.Bandicota savilei,=,,,,canonicalName,,tip
————————————,10515,,,,2622524,B.unclassified Bandicota,,,,,,,
